ItemID,Item,Voice,CompQ,CompQOptCorrect,CompQOptIncorrect,Name1,Gender1,Pred1,PredType1,Name2,Gender2,Pred2,PredType2,S1SubjReversed,S2SubjReversed,Verb,NPBias,NPBiasCat,GenderBias,ContType,Filler,AdvP,Tense,VerbConj,Continuation,Author,CompQTarget,CompQBase,CompQOptCorrectBase,CompQOptIncorrectBase,ICPro,S1S2,S3,S4
1,Joel likes to sail. Gloria is a bellhop. Gloria and Joel are close friends. Gloria congratulated Joel this morning because he won an award at a local sailing championship.,CS,Who is a bellhop?,Gloria,Joel,Gloria,FEMALE,is a bellhop,is_a,Joel,MALE,likes to sail,likes_to,TRUE,FALSE,congratulate,-94,NP2,3,NP2,are close friends,this morning,past,congratulated,won an award at a local sailing championship.,EF,Pred1,Who PRED1?,NAME1,NAME2,he,Joel likes to sail. Gloria is a bellhop. ,Gloria and Joel are close friends. ,Gloria congratulated Joel this morning because he won an award at a local sailing championship.
2,"Alana likes to crochet. Milton likes to flirt. Milton and Alana are neighbors. Milton congratulated Alana at lunch because she just got featured in ""Simply Crochet"", a popular crafts magazine.",NJ,Who likes to crochet?,Alana,Milton,Milton,MALE,likes to flirt,likes_to,Alana,FEMALE,likes to crochet,likes_to,TRUE,FALSE,congratulate,-94,NP2,3,NP2,are neighbors,at lunch,past,congratulated,"just got featured in ""Simply Crochet"", a popular crafts magazine.",EF,Pred2,Who PRED2?,NAME2,NAME1,she,Alana likes to crochet. Milton likes to flirt. ,Milton and Alana are neighbors. ,"Milton congratulated Alana at lunch because she just got featured in ""Simply Crochet"", a popular crafts magazine."
3,"Pam is an ophthalmologist. Eddie owns a bagpipe. Pam and Eddie are siblings. Eddie congratulated Pam on Monday because she was nominated for the ""Ophthalmologist of the year"" award.",BL,Eddie ____________.,owns a bagpipe,is an ophthalmologist,Eddie,MALE,owns a bagpipe,owns_a,Pam,FEMALE,is an ophthalmologist,is_a,TRUE,TRUE,congratulate,-94,NP2,3,NP2,are siblings,on Monday,past,congratulated,"was nominated for the ""Ophthalmologist of the year"" award.",EF,Pred1,NAME1 ____________.,PRED1,PRED2,she,Pam is an ophthalmologist. Eddie owns a bagpipe. ,Pam and Eddie are siblings. ,"Eddie congratulated Pam on Monday because she was nominated for the ""Ophthalmologist of the year"" award."
4,Julie is a retiree. Gavin owns a treadmill. Julie and Gavin are neighbors. Gavin congratulated Julie last week because she just became a grandmother.,MT,Julie ____________.,is a retiree,owns a treadmill,Gavin,MALE,owns a treadmill,owns_a,Julie,FEMALE,is a retiree,is_a,TRUE,TRUE,congratulate,-94,NP2,3,NP2,are neighbors,last week,past,congratulated,just became a grandmother.,EF,Pred2,NAME2 ____________.,PRED2,PRED1,she,Julie is a retiree. Gavin owns a treadmill. ,Julie and Gavin are neighbors. ,Gavin congratulated Julie last week because she just became a grandmother.
5,Natalie owns a treadmill. Gerard owns a limousine. Gerard and Natalie are sweethearts. Natalie congratulated Gerard today because he recently started a transportation business that is doing extremely well.,CS,Natalie and Gerard ____________.,are sweethearts,are acquaintances,Natalie,FEMALE,owns a treadmill,owns_a,Gerard,MALE,owns a limousine,owns_a,FALSE,TRUE,congratulate,-94,NP2,3,NP2,are sweethearts,today,past,congratulated,recently started a transportation business that is doing extremely well.,EF,Filler,NAME1 and NAME2 ____________.,FILLER,are acquaintances,he,Natalie owns a treadmill. Gerard owns a limousine. ,Gerard and Natalie are sweethearts. ,Natalie congratulated Gerard today because he recently started a transportation business that is doing extremely well.
6,Shane likes to flirt. Suzanne owns a salamander. Suzanne and Shane are dating. Shane congratulated Suzanne last night because she was accepted to a wildlife conservation fellowship in the Galapagos.,NJ,TRUE or FALSE: It's Shane who congratulated Suzanne.,TRUE,FALSE,Shane,MALE,likes to flirt,likes_to,Suzanne,FEMALE,owns a salamander,owns_a,FALSE,TRUE,congratulate,-94,NP2,3,NP2,are dating,last night,past,congratulated,was accepted to a wildlife conservation fellowship in the Galapagos.,BL,ICVerb,TRUE or FALSE: It's NAME1 who VERBCONJ NAME2.,TRUE,FALSE,she,Shane likes to flirt. Suzanne owns a salamander. ,Suzanne and Shane are dating. ,Shane congratulated Suzanne last night because she was accepted to a wildlife conservation fellowship in the Galapagos.
7,Kimberly owns a limousine. Jonathan is a retiree. Jonathan and Kimberly are neighbors. Jonathan congratulated Kimberly last week because she had just added several cabs to her limousine business.,BL,Does Kimberly own both limousines and cabs?,YES,NO,Jonathan,MALE,is a retiree,is_a,Kimberly,FEMALE,owns a limousine,owns_a,TRUE,FALSE,congratulate,-94,NP2,3,NP2,are neighbors,last week,past,congratulated,had just added several cabs to her limousine business.,BL,Continuation,Does NAME2 own both limousines and cabs?,YES,NO,she,Kimberly owns a limousine. Jonathan is a retiree. ,Jonathan and Kimberly are neighbors. ,Jonathan congratulated Kimberly last week because she had just added several cabs to her limousine business.
8,Roger is a retiree. Hope is an ophthalmologist. Roger and Hope are cousins. Hope congratulated Roger on Saturday because he recently moved to Florida to enjoy his retirement.,MT,Who is an ophthalmologist?,Hope,Roger,Hope,FEMALE,is an ophthalmologist,is_a,Roger,MALE,is a retiree,is_a,TRUE,TRUE,congratulate,-94,NP2,3,NP2,are cousins,on Saturday,past,congratulated,recently moved to Florida to enjoy his retirement.,BL,Pred1,Who PRED1?,NAME1,NAME2,he,Roger is a retiree. Hope is an ophthalmologist. ,Roger and Hope are cousins. ,Hope congratulated Roger on Saturday because he recently moved to Florida to enjoy his retirement.
9,Caroline is a retiree. Gary likes to crochet. Caroline and Gary are married. Caroline congratulated Gary this morning because she was so proud of the success of his new hobby.,CS,Who is a retiree?,Caroline,Gary,Caroline,FEMALE,is a retiree,is_a,Gary,MALE,likes to crochet,likes_to,FALSE,FALSE,congratulate,-94,NP2,3,NP1,are married,this morning,past,congratulated,was so proud of the success of his new hobby.,BL,Pred2,Who PRED2?,NAME2,NAME1,she,Caroline is a retiree. Gary likes to crochet. ,Caroline and Gary are married. ,Caroline congratulated Gary this morning because she was so proud of the success of his new hobby.
10,Christine is an actor. Todd owns a pub. Christine and Todd are roommates. Christine congratulated Todd earlier because she heard from a friend that his pub was becoming quite popular.,NJ,Who owns a pub?,Todd,Christine,Christine,FEMALE,is an actor,is_a,Todd,MALE,owns a pub,owns_a,FALSE,FALSE,congratulate,-94,NP2,3,NP1,are roommates,earlier,past,congratulated,heard from a friend that his pub was becoming quite popular.,BL,Pred1,NAME1 ____________.,PRED1,PRED2,she,Christine is an actor. Todd owns a pub. ,Christine and Todd are roommates. ,Christine congratulated Todd earlier because she heard from a friend that his pub was becoming quite popular.
11,Shirley is a bellhop. Thomas owns a treadmill. Thomas and Shirley are siblings. Shirley envies Thomas often because he can work out in the winter without having to drive to the gym.,BL,Shirley ____________.,is a bellhop,owns a treadmill,Shirley,FEMALE,is a bellhop,is_a,Thomas,MALE,owns a treadmill,owns_a,FALSE,TRUE,envy,-94,NP2,-5,NP2,are siblings,often,present,envies,can work out in the winter without having to drive to the gym.,CS,Pred2,NAME2 ____________.,PRED2,PRED1,he,Shirley is a bellhop. Thomas owns a treadmill. ,Thomas and Shirley are siblings. ,Shirley envies Thomas often because he can work out in the winter without having to drive to the gym.
12,Mark is an actor. Holly is a bellhop. Mark and Holly are married. Holly has envied Mark for years because he seems completely comfortable in front of large crowds.,MT,Mark ____________.,is an actor,is a bellhop,Holly,FEMALE,is a bellhop,is_a,Mark,MALE,is an actor,is_a,TRUE,TRUE,envy,-94,NP2,-5,NP2,are married,for years,present perfect,has envied,seems completely comfortable in front of large crowds.,CS,Filler,NAME1 and NAME2 ____________.,FILLER,are divorced,he,Mark is an actor. Holly is a bellhop. ,Mark and Holly are married. ,Holly has envied Mark for years because he seems completely comfortable in front of large crowds.
13,Josephine owns a treadmill. Clifford likes to read. Clifford and Josephine are sweethearts. Josephine envied Clifford last year because he read fifty-two books in a year.,CS,Josephine and Clifford ____________.,are sweethearts,are divorced,Josephine,FEMALE,owns a treadmill,owns_a,Clifford,MALE,likes to read,likes_to,FALSE,TRUE,envy,-94,NP2,-5,NP2,are sweethearts,last year,past,envied,read fifty-two books in a year.,CS,ICVerb,TRUE or FALSE: It's NAME2 who VERBCONJ NAME1.,FALSE,TRUE,he,Josephine owns a treadmill. Clifford likes to read. ,Clifford and Josephine are sweethearts. ,Josephine envied Clifford last year because he read fifty-two books in a year.
14,Sabrina owns a salamander. Jacob likes to crochet. Jacob and Sabrina are roommates. Jacob envied Sabrina last week because she was invited to show her salamander to kids in a local 4th grade class.,NJ,TRUE or FALSE: It's Sabrina who envied Jacob.,FALSE,TRUE,Jacob,MALE,likes to crochet,likes_to,Sabrina,FEMALE,owns a salamander,owns_a,TRUE,FALSE,envy,-94,NP2,-5,NP2,are roommates,last week,past,envied,was invited to show her salamander to kids in a local 4th grade class.,CS,Continuation,Where did NAME2 meet the celebrity?,A hotel,A theater,she,Sabrina owns a salamander. Jacob likes to crochet. ,Jacob and Sabrina are roommates. ,Jacob envied Sabrina last week because she was invited to show her salamander to kids in a local 4th grade class.
15,Marco is a bellhop. Chloe is an actor. Marco and Chloe are neighbors. Chloe envied Marco this summer because he got a signature from a celebrity who was staying at the hotel.,BL,Where did Marco meet the celebrity?,A hotel,A theater,Chloe,FEMALE,is an actor,is_a,Marco,MALE,is a bellhop,is_a,TRUE,TRUE,envy,-94,NP2,-5,NP2,are neighbors,this summer,past,envied,got a signature from a celebrity who was staying at the hotel.,CS,Pred1,Who PRED1?,NAME1,NAME2,he,Marco is a bellhop. Chloe is an actor. ,Marco and Chloe are neighbors. ,Chloe envied Marco this summer because he got a signature from a celebrity who was staying at the hotel.
16,Sharon owns a bagpipe. Dalton likes to flirt. Sharon and Dalton are cousins. Dalton envied Sharon in December because she got to play in the local holiday parade.,MT,Who owns a bagpipe?,Sharon,Dalton,Dalton,MALE,likes to flirt,likes_to,Sharon,FEMALE,owns a bagpipe,owns_a,TRUE,TRUE,envy,-94,NP2,-5,NP2,are cousins,in December,past,envied,got to play in the local holiday parade.,CS,Pred2,Who PRED2?,NAME2,NAME1,she,Sharon owns a bagpipe. Dalton likes to flirt. ,Sharon and Dalton are cousins. ,Dalton envied Sharon in December because she got to play in the local holiday parade.
17,Christian owns a limousine. Lisa owns a pub. Christian and Lisa are divorced. Christian has envied Lisa since they met because she gets free food and drinks in the pub.,CS,Christian ____________.,owns a limousine,owns a pub,Christian,MALE,owns a limousine,owns_a,Lisa,FEMALE,owns a pub,owns_a,FALSE,FALSE,envy,-94,NP2,-5,NP2,are divorced,since they met,present perfect,has envied,gets free food and drinks in the pub.,CS,Pred1,NAME1 ____________.,PRED1,PRED2,she,Christian owns a limousine. Lisa owns a pub. ,Christian and Lisa are divorced. ,Christian has envied Lisa since they met because she gets free food and drinks in the pub.
18,Stanley likes to flirt. Rebecca likes to crochet. Rebecca and Stanley are close friends. Rebecca envies Stanley regularly because he comes off to everyone as confident and charming.,CS,Stanley ____________.,likes to flirt,likes to crochet,Rebecca,FEMALE,likes to crochet,likes_to,Stanley,MALE,likes to flirt,likes_to,TRUE,FALSE,envy,-94,NP2,-5,NP2,are close friends,regularly,present,envies,comes off to everyone as confident and charming.,CS,Pred2,NAME2 ____________.,PRED2,PRED1,he,Stanley likes to flirt. Rebecca likes to crochet. ,Rebecca and Stanley are close friends. ,Rebecca envies Stanley regularly because he comes off to everyone as confident and charming.
19,Timothy owns a limousine. Crystal likes to sail. Timothy and Crystal are distantly related. Timothy envies Crystal frequently because he has always been deeply afraid of water.,BL,Timothy and Crystal ____________.,are distantly related,are dating,Timothy,MALE,owns a limousine,owns_a,Crystal,FEMALE,likes to sail,likes_to,FALSE,FALSE,envy,-94,NP2,-5,NP1,are distantly related,frequently,present,envies,has always been deeply afraid of water.,CS,Filler,NAME1 and NAME2 ____________.,FILLER,are dating,he,Timothy owns a limousine. Crystal likes to sail. ,Timothy and Crystal are distantly related. ,Timothy envies Crystal frequently because he has always been deeply afraid of water.
