Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank,Index
2013,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,124,1,0
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,132,3,1
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,75,5,2
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,Fiona,49,10,3
2015,FEMALE,ASIAN AND PACIFIC ISLANDER,Amelia,48,11,4
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Vivian,44,11,5
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,36,14,6
2013,FEMALE,ASIAN AND PACIFIC ISLANDER,Claire,33,19,9
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,Stella,33,22,10
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Ella,25,23,11
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Inaaya,28,25,12
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Stephanie,22,26,13
2015,FEMALE,ASIAN AND PACIFIC ISLANDER,Kaylee,26,27,14
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Natalie,20,28,16
2013,FEMALE,ASIAN AND PACIFIC ISLANDER,Zoey,24,28,18
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,Catherine,26,29,19
2013,FEMALE,ASIAN AND PACIFIC ISLANDER,Maggie,23,29,20
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Nina,21,29,21
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,Annie,25,30,22
2015,FEMALE,ASIAN AND PACIFIC ISLANDER,Ayesha,23,30,23
2013,FEMALE,ASIAN AND PACIFIC ISLANDER,Jenny,22,30,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Maryam,17,31,27
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Sabrina,19,31,28
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Carina,18,32,29
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,Erica,23,32,30
2013,FEMALE,ASIAN AND PACIFIC ISLANDER,Ariel,19,33,32
2013,FEMALE,ASIAN AND PACIFIC ISLANDER,Cindy,19,33,33
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Elizabeth,15,33,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Anika,14,34,35
