Name,Gender,AgeGroup,Warmth,Competence
Abby,Female,2.7,3.17,3.06
Abraham,Male,6.07,3.26,3.62
Adrianna,Female,3.49,2.89,3.01
Alan,Male,4.56,3.15,3.4
Alana,Female,3.19,3.03,3.16
Albert,Male,6,3.01,3.25
Alexander,Male,3.47,3.21,3.53
Alexis,Female,3,2.91,3.09
Allen,Male,4.39,3.26,3.3
Allison,Female,3.49,3.19,3.29
Alvin,Male,4.72,2.87,2.92
Alyssa,Female,3.08,3.09,3.01
Amanda,Female,3.63,3.08,3.31
Amber,Female,3.24,2.96,2.93
Amelia,Female,4.17,3.08,3.44
Amy,Female,3.74,3.17,3.36
Andrew,Male,3.01,3.35,3.33
Angie,Female,4.4,2.94,2.94
Anita,Female,5.3,2.9,3.11
Ann,Female,5.42,3.19,3.46
Anna,Female,3.16,3.37,3.54
Anthony,Male,3.22,3.25,3.09
Arnold,Male,6.03,2.86,3.4
Arthur,Male,6.17,3.13,3.78
Ashley,Female,3.24,2.97,2.82
Audrey,Female,3.83,3.18,3.29
Austin,Male,2.81,3.34,3.02
Autumn,Female,3.04,3.11,2.86
Bailey,Female,3.2,3.24,3.26
Barbara,Female,6.4,2.88,3.49
Becky,Female,4.25,2.98,2.99
Beth,Female,5.12,3.05,3.13
Betty,Female,6.71,3.14,3.35
Bob,Male,6.01,3,3.02
Brad,Male,3.88,3.17,2.84
Brady,Male,3.33,3.11,2.91
Brandon,Male,2.89,3.31,3.1
Brandy,Female,4.12,2.81,2.84
Brenda,Female,5.09,2.87,3.34
Brendan,Male,3.14,3.3,2.99
Brent,Male,3.51,3.03,2.79
Brett,Male,3.62,2.98,2.87
Brian,Male,3.58,3.36,3.23
Brianna,Female,2.88,2.89,2.86
Brittney,Female,3.34,2.88,2.8
Brooke,Female,3.36,2.97,2.92
Bruce,Male,5.68,2.92,3.18
Bryce,Male,3.27,2.97,2.9
Calvin,Male,4.1,3.04,3.05
Camila,Female,4.03,3,3.09
Candice,Female,3.96,2.94,2.91
Carla,Female,4.43,2.95,3.06
Carol,Female,6.06,2.83,3.36
Caroline,Female,3.89,3.14,3.38
Carrie,Female,4.25,3.26,3.24
Carson,Male,3.89,3.07,3.15
Cathy,Female,5.3,3.09,3.28
Charlie,Male,3.14,3.5,3.27
Chase,Male,3.09,3.28,2.95
Chelsea,Female,3.39,2.93,2.9
Cheryl,Female,5.87,2.75,3.08
Cheyenne,Female,4.07,2.76,2.8
Chloe,Female,2.72,3.05,2.84
Chris,Male,3.43,3.54,3.17
Christian,Male,3.13,3.46,3.1
Christine,Female,4.33,3.11,3.31
Cindy,Female,4.64,2.94,3.02
Claudia,Female,5.16,2.72,3.26
Clifford,Male,5.82,3.08,3.2
Colby,Male,2.96,3.03,2.66
Colin,Male,3.25,3.26,3.23
Colleen,Female,4.99,2.81,3.29
Craig,Male,4.84,2.94,3.1
Crystal,Female,3.59,2.77,2.8
Curtis,Male,4.57,2.89,3.01
Cynthia,Female,4.7,2.99,3.36
Dalton,Male,3.38,2.9,3.06
Daniel,Male,3.06,3.5,3.41
Danielle,Female,3.46,3.15,3.34
Danny,Male,3.09,3.49,3.02
Darlene,Female,6.51,2.87,3.08
Darrell,Male,4.5,2.86,2.87
Darren,Male,3.81,3.01,2.95
Dave,Male,4.64,3.2,3.27
David,Male,3.75,3.51,3.35
Dean,Male,4.53,3.07,3.28
Deanna,Female,4.94,2.77,3.15
Deborah,Female,6.19,2.74,3.33
Dennis,Male,4.63,3.1,3.06
Devon,Male,3,2.85,2.75
Diane,Female,5.9,3.05,3.58
Dolores,Female,7.28,2.71,3.19
Dominic,Male,3.71,2.89,2.73
Donald,Male,6.16,2.79,3.1
Donna,Female,6.2,2.89,3.33
Donovan,Male,4.19,2.85,2.97
Doreen,Female,6.45,2.81,3.28
Doris,Female,6.96,2.86,3.2
Duane,Male,4.71,2.56,2.5
Dustin,Male,2.89,3.09,2.83
Dylan,Male,2.64,3.32,2.94
Earl,Male,6.98,2.81,3.04
Eddie,Male,3.62,3.3,2.68
Edwin,Male,4.76,3.07,3.24
Elias,Male,3.95,3.01,3.18
Elijah,Male,3.01,3.27,3.12
Elizabeth,Female,4.19,3.34,3.8
Ellie,Female,2.95,3.13,3.05
Emily,Female,2.92,3.48,3.44
Emma,Female,2.88,3.47,3.54
Eric,Male,3.32,3.42,3.2
Erika,Female,3.36,2.88,2.96
Ernest,Male,6.94,3.09,3.56
Ethan,Male,2.99,3.36,3.27
Eva,Female,3.88,3.1,3.3
Evelyn,Female,5.1,3.2,3.4
Felicia,Female,4.45,2.37,2.57
Franklin,Male,5.44,3.11,3.49
Fred,Male,4.7,3.1,2.96
Gary,Male,5.67,2.85,3.08
Gavin,Male,3.53,3.1,3.11
Gene,Male,6.34,2.98,3.27
George,Male,5.4,3.22,3.42
Gerard,Male,5.45,3.03,3.37
Gilbert,Male,5.94,2.83,3.24
Gina,Female,4.71,2.96,3.1
Glenda,Female,6.76,2.74,3.18
Gloria,Female,6.41,2.96,3.27
Grace,Female,3.45,3.61,3.42
Grant,Male,4.3,3.09,3.34
Greg,Male,4.51,3.03,3.2
Hailey,Female,3,3.17,2.99
Hannah,Female,3.04,3.14,3.05
Harry,Male,4.54,3.2,3.43
Harvey,Male,5.58,3.06,3.41
Heather,Female,4.01,3.18,3.35
Hector,Male,4.64,2.76,3.01
Heidi,Female,4.51,2.96,3.15
Henry,Male,4.35,3.34,3.43
Herbert,Male,7.18,2.89,3.38
Herman,Male,6.62,3,3.25
Holly,Female,3.89,3.13,3.08
Hope,Female,3.21,3.44,3.26
Howard,Male,6.03,2.79,3.36
